Campaign,Date,New Active Passengers,Tours,New User Registrations,App Downloads (Android and iOS)
,05/10/15,2529,20886,3810,3975
,06/10/15,2226,21045,3690,4110
,07/10/15,2355,22455,3927,4188
,08/10/15,2922,24504,5043,5433
,09/10/15,5202,29562,8493,9609
,10/10/15,6780,25215,12303,14100
,11/10/15,3321,14328,9369,7503
,12/10/15,2226,20379,3798,3999
,13/10/15,2172,21642,4038,4368
,14/10/15,2097,21549,3900,4071
,15/10/15,3009,26085,5844,6432
,16/10/15,5391,29730,10335,11607
,17/10/15,7866,26412,13887,14205
,18/10/15,5478,19029,8724,7533
,19/10/15,2460,21042,4311,4392
,20/10/15,2223,21483,3930,4149
,21/10/15,2181,22659,4095,4374
,22/10/15,3213,26379,6630,6768
,23/10/15,5490,30846,10374,11979
,24/10/15,8076,27237,12522,12927
,25/10/15,5793,19143,8898,7917
,26/10/15,3156,22287,4983,5139
,27/10/15,2601,22548,4065,4443
,28/10/15,2901,24612,4869,4971
,29/10/15,3054,26460,6147,6426
,30/10/15,4887,32724,10653,11724
,31/10/15,6228,25365,13410,13794
,01/11/15,3924,17049,8601,7212
,02/11/15,2397,22047,3774,3810
,03/11/15,2022,21891,3264,3450
,04/11/15,2220,23142,3558,3792
,05/11/15,2805,25494,4908,5274
,06/11/15,5322,31218,8646,9729
,07/11/15,8382,28794,11559,12198
,08/11/15,5385,18657,7554,6642
,09/11/15,2646,22698,3657,3903
,10/11/15,2274,23217,3870,3879
,11/11/15,2292,24603,3972,4167
,12/11/15,2802,26907,5178,5532
,13/11/15,5271,31014,8724,10116
,14/11/15,9147,29832,13635,15216
,15/11/15,6024,20127,9174,7404
,16/11/15,2730,22830,4278,4563
Campaign Start,17/11/15,2817,24303,5262,5622
,18/11/15,3477,25896,8904,10119
,19/11/15,5601,31509,11367,12852
,20/11/15,9078,37941,15153,16260
,21/11/15,9519,29838,14709,14958
,22/11/15,7710,22761,11193,10350
,23/11/15,4185,21762,8358,8811
,24/11/15,3879,20214,8562,9033
,25/11/15,5019,21921,8511,9057
,26/11/15,5517,18150,9993,10872
,27/11/15,5145,34608,9837,11535
,28/11/15,9291,33003,13536,14967
,29/11/15,5457,16413,9048,7704
,30/11/15,3693,18168,8595,9303
,01/12/15,3378,23838,7302,7602
,02/12/15,3333,23910,8040,3540
Campaign End,03/12/15,4557,28059,10962,4053
,04/12/15,8262,36693,13935,15240
,05/12/15,11367,32583,18327,19362
,06/12/15,7614,22539,11028,10602
,07/12/15,4590,29049,6657,7389